[2023-11-13T06:57:53.179+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [queued]>
[2023-11-13T06:57:53.187+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [queued]>
[2023-11-13T06:57:53.187+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2023-11-13T06:57:53.198+0000] {taskinstance.py:1380} INFO - Executing <Task(DockerOperator): train_task> on 2023-11-13 06:57:51.880969+00:00
[2023-11-13T06:57:53.202+0000] {standard_task_runner.py:57} INFO - Started process 73 to run task
[2023-11-13T06:57:53.206+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'docker_cb', 'train_task', 'manual__2023-11-13T06:57:51.880969+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/catboost/docker.py', '--cfg-path', '/tmp/tmpfqxifx00']
[2023-11-13T06:57:53.208+0000] {standard_task_runner.py:85} INFO - Job 11: Subtask train_task
[2023-11-13T06:57:53.250+0000] {task_command.py:415} INFO - Running <TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [running]> on host aeca72838768
[2023-11-13T06:57:53.323+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='docker_cb' AIRFLOW_CTX_TASK_ID='train_task' AIRFLOW_CTX_EXECUTION_DATE='2023-11-13T06:57:51.880969+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-11-13T06:57:51.880969+00:00'
[2023-11-13T06:57:53.403+0000] {docker.py:337} INFO - Starting docker container from image dunghoang99/***-cb-stage:0.0.1
[2023-11-13T06:57:53.414+0000] {docker.py:345} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2023-11-13T06:57:55.593+0000] {docker.py:406} INFO - Data train: X_train shape (10099, 8), y_train shape (10099,)
Data test: X_test shape (1123, 8), y_test shape (1123,)
0:	learn: 0.6923545	total: 50.4ms	remaining: 50.3s
39:	learn: 0.6800493	total: 130ms	remaining: 3.13s
40:	learn: 0.6800143	total: 132ms	remaining: 3.09s
41:	learn: 0.6798275	total: 134ms	remaining: 3.05s
42:	learn: 0.6796377	total: 135ms	remaining: 3.01s
43:	learn: 0.6795499	total: 137ms	remaining: 2.98s
44:	learn: 0.6794253	total: 139ms	remaining: 2.95s
45:	learn: 0.6793035	total: 141ms	remaining: 2.92s
46:	learn: 0.6789688	total: 144ms	remaining: 2.91s
47:	learn: 0.6789078	total: 145ms	remaining: 2.88s
48:	learn: 0.6787898	total: 147ms	remaining: 2.86s
49:	learn: 0.6786445	total: 150ms	remaining: 2.84s
50:	learn: 0.6785399	total: 152ms	remaining: 2.83s
51:	learn: 0.6783132	total: 154ms	remaining: 2.81s
52:	learn: 0.6781841	total: 157ms	remaining: 2.8s
53:	learn: 0.6779797	total: 159ms	remaining: 2.79s
54:	learn: 0.6777721	total: 161ms	remaining: 2.77s
55:	learn: 0.6776195	total: 163ms	remaining: 2.74s
56:	learn: 0.6774137	total: 164ms	remaining: 2.72s
57:	learn: 0.6771868	total: 167ms	remaining: 2.71s
58:	learn: 0.6770286	total: 169ms	remaining: 2.69s
59:	learn: 0.6768593	total: 170ms	remaining: 2.67s
60:	learn: 0.6766314	total: 173ms	remaining: 2.67s
61:	learn: 0.6764341	total: 175ms	remaining: 2.65s
62:	learn: 0.6762894	total: 177ms	remaining: 2.63s
63:	learn: 0.6762179	total: 179ms	remaining: 2.62s
64:	learn: 0.6761877	total: 180ms	remaining: 2.59s
65:	learn: 0.6760788	total: 182ms	remaining: 2.58s
66:	learn: 0.6759794	total: 186ms	remaining: 2.59s
67:	learn: 0.6757549	total: 189ms	remaining: 2.59s
68:	learn: 0.6756725	total: 191ms	remaining: 2.58s
69:	learn: 0.6755437	total: 193ms	remaining: 2.57s
70:	learn: 0.6754571	total: 197ms	remaining: 2.58s
71:	learn: 0.6754200	total: 201ms	remaining: 2.59s
72:	learn: 0.6753029	total: 204ms	remaining: 2.6s
73:	learn: 0.6751809	total: 207ms	remaining: 2.59s
74:	learn: 0.6750787	total: 209ms	remaining: 2.58s
75:	learn: 0.6748238	total: 211ms	remaining: 2.57s
76:	learn: 0.6747360	total: 213ms	remaining: 2.55s
77:	learn: 0.6746475	total: 216ms	remaining: 2.55s
78:	learn: 0.6744962	total: 217ms	remaining: 2.54s
79:	learn: 0.6743493	total: 220ms	remaining: 2.53s
80:	learn: 0.6742165	total: 223ms	remaining: 2.53s
81:	learn: 0.6741563	total: 225ms	remaining: 2.52s
82:	learn: 0.6739410	total: 228ms	remaining: 2.52s
83:	learn: 0.6738319	total: 232ms	remaining: 2.52s
84:	learn: 0.6737218	total: 234ms	remaining: 2.51s
85:	learn: 0.6736046	total: 239ms	remaining: 2.54s
86:	learn: 0.6733830	total: 241ms	remaining: 2.53s
87:	learn: 0.6732236	total: 243ms	remaining: 2.52s
88:	learn: 0.6731003	total: 245ms	remaining: 2.51s
89:	learn: 0.6729525	total: 248ms	remaining: 2.51s
90:	learn: 0.6728208	total: 254ms	remaining: 2.54s
91:	learn: 0.6726889	total: 257ms	remaining: 2.53s
92:	learn: 0.6725423	total: 259ms	remaining: 2.52s
93:	learn: 0.6724975	total: 261ms	remaining: 2.52s
94:	learn: 0.6724268	total: 263ms	remaining: 2.51s
95:	learn: 0.6723531	total: 267ms	remaining: 2.52s
96:	learn: 0.6722101	total: 270ms	remaining: 2.51s
97:	learn: 0.6720749	total: 272ms	remaining: 2.5s
98:	learn: 0.6719205	total: 274ms	remaining: 2.5s
99:	learn: 0.6717257	total: 279ms	remaining: 2.51s
100:	learn: 0.6715174	total: 281ms	remaining: 2.5s
101:	learn: 0.6714281	total: 283ms	remaining: 2.49s
102:	learn: 0.6712881	total: 285ms	remaining: 2.48s
103:	learn: 0.6712261	total: 287ms	remaining: 2.47s
104:	learn: 0.6710531	total: 289ms	remaining: 2.46s
105:	learn: 0.6708603	total: 291ms	remaining: 2.46s
106:	learn: 0.6708004	total: 293ms	remaining: 2.44s
107:	learn: 0.6705155	total: 295ms	remaining: 2.44s
108:	learn: 0.6704792	total: 299ms	remaining: 2.44s
109:	learn: 0.6703968	total: 301ms	remaining: 2.44s
110:	learn: 0.6703340	total: 303ms	remaining: 2.43s
111:	learn: 0.6701382	total: 305ms	remaining: 2.42s
112:	learn: 0.6700373	total: 308ms	remaining: 2.42s
113:	learn: 0.6700006	total: 310ms	remaining: 2.41s
114:	learn: 0.6699201	total: 312ms	remaining: 2.4s
115:	learn: 0.6698275	total: 314ms	remaining: 2.39s
116:	learn: 0.6695725	total: 316ms	remaining: 2.38s
117:	learn: 0.6694414	total: 318ms	remaining: 2.38s
118:	learn: 0.6694031	total: 320ms	remaining: 2.37s
119:	learn: 0.6693459	total: 323ms	remaining: 2.37s
120:	learn: 0.6692019	total: 325ms	remaining: 2.36s
121:	learn: 0.6690772	total: 328ms	remaining: 2.36s
122:	learn: 0.6689413	total: 330ms	remaining: 2.35s
123:	learn: 0.6688726	total: 333ms	remaining: 2.35s
124:	learn: 0.6687473	total: 336ms	remaining: 2.35s
125:	learn: 0.6685968	total: 338ms	remaining: 2.34s
126:	learn: 0.6684084	total: 341ms	remaining: 2.34s
127:	learn: 0.6682150	total: 343ms	remaining: 2.34s
128:	learn: 0.6680815	total: 346ms	remaining: 2.34s
129:	learn: 0.6679709	total: 348ms	remaining: 2.33s
130:	learn: 0.6678207	total: 351ms	remaining: 2.33s
131:	learn: 0.6677146	total: 354ms	remaining: 2.33s
132:	learn: 0.6676089	total: 356ms	remaining: 2.32s
133:	learn: 0.6674313	total: 358ms	remaining: 2.31s
134:	learn: 0.6671831	total: 360ms	remaining: 2.31s
135:	learn: 0.6670552	total: 363ms	remaining: 2.31s
136:	learn: 0.6668790	total: 366ms	remaining: 2.3s
137:	learn: 0.6667174	total: 368ms	remaining: 2.3s
138:	learn: 0.6666482	total: 370ms	remaining: 2.29s
139:	learn: 0.6665386	total: 372ms	remaining: 2.28s
140:	learn: 0.6663495	total: 374ms	remaining: 2.28s
141:	learn: 0.6661794	total: 376ms	remaining: 2.27s
142:	learn: 0.6661590	total: 378ms	remaining: 2.26s
143:	learn: 0.6660321	total: 380ms	remaining: 2.26s
144:	learn: 0.6658155	total: 382ms	remaining: 2.25s
145:	learn: 0.6656449	total: 386ms	remaining: 2.26s
146:	learn: 0.6655221	total: 388ms	remaining: 2.25s
147:	learn: 0.6653024	total: 390ms	remaining: 2.24s
148:	learn: 0.6651524	total: 391ms	remaining: 2.23s
149:	learn: 0.6649713	total: 393ms	remaining: 2.23s
150:	learn: 0.6648136	total: 396ms	remaining: 2.22s
151:	learn: 0.6646632	total: 398ms	remaining: 2.22s
152:	learn: 0.6644969	total: 400ms	remaining: 2.21s
153:	learn: 0.6643464	total: 402ms	remaining: 2.21s
154:	learn: 0.6642447	total: 404ms	remaining: 2.2s
155:	learn: 0.6640367	total: 406ms	remaining: 2.2s
156:	learn: 0.6638552	total: 408ms	remaining: 2.19s
[2023-11-13T06:57:55.930+0000] {docker.py:406} INFO - 157:	learn: 0.6637109	total: 410ms	remaining: 2.19s
158:	learn: 0.6634351	total: 414ms	remaining: 2.19s
159:	learn: 0.6632889	total: 416ms	remaining: 2.19s
160:	learn: 0.6631542	total: 418ms	remaining: 2.18s
161:	learn: 0.6629496	total: 420ms	remaining: 2.17s
162:	learn: 0.6627833	total: 422ms	remaining: 2.17s
163:	learn: 0.6626750	total: 424ms	remaining: 2.16s
164:	learn: 0.6625964	total: 426ms	remaining: 2.16s
165:	learn: 0.6623659	total: 428ms	remaining: 2.15s
166:	learn: 0.6621916	total: 430ms	remaining: 2.15s
167:	learn: 0.6620252	total: 432ms	remaining: 2.14s
168:	learn: 0.6619368	total: 434ms	remaining: 2.13s
169:	learn: 0.6617943	total: 436ms	remaining: 2.13s
170:	learn: 0.6616135	total: 438ms	remaining: 2.12s
171:	learn: 0.6616135	total: 439ms	remaining: 2.11s
172:	learn: 0.6614725	total: 440ms	remaining: 2.1s
173:	learn: 0.6612787	total: 443ms	remaining: 2.1s
174:	learn: 0.6610207	total: 445ms	remaining: 2.1s
175:	learn: 0.6607788	total: 447ms	remaining: 2.09s
176:	learn: 0.6605449	total: 449ms	remaining: 2.09s
177:	learn: 0.6603259	total: 451ms	remaining: 2.08s
178:	learn: 0.6601970	total: 453ms	remaining: 2.08s
179:	learn: 0.6600261	total: 455ms	remaining: 2.07s
180:	learn: 0.6599586	total: 457ms	remaining: 2.07s
181:	learn: 0.6597647	total: 459ms	remaining: 2.06s
182:	learn: 0.6596627	total: 461ms	remaining: 2.06s
183:	learn: 0.6594542	total: 463ms	remaining: 2.05s
184:	learn: 0.6593410	total: 465ms	remaining: 2.05s
185:	learn: 0.6591718	total: 466ms	remaining: 2.04s
186:	learn: 0.6589531	total: 468ms	remaining: 2.04s
187:	learn: 0.6588014	total: 470ms	remaining: 2.03s
188:	learn: 0.6586800	total: 471ms	remaining: 2.02s
189:	learn: 0.6584902	total: 473ms	remaining: 2.02s
190:	learn: 0.6583022	total: 475ms	remaining: 2.01s
191:	learn: 0.6581046	total: 477ms	remaining: 2.01s
192:	learn: 0.6580166	total: 480ms	remaining: 2s
193:	learn: 0.6578429	total: 481ms	remaining: 2s
194:	learn: 0.6577077	total: 483ms	remaining: 2s
195:	learn: 0.6574877	total: 485ms	remaining: 1.99s
196:	learn: 0.6572999	total: 488ms	remaining: 1.99s
197:	learn: 0.6572095	total: 489ms	remaining: 1.98s
198:	learn: 0.6569655	total: 491ms	remaining: 1.98s
199:	learn: 0.6568617	total: 493ms	remaining: 1.97s
200:	learn: 0.6565798	total: 495ms	remaining: 1.97s
201:	learn: 0.6564259	total: 497ms	remaining: 1.96s
202:	learn: 0.6561717	total: 499ms	remaining: 1.96s
203:	learn: 0.6560340	total: 501ms	remaining: 1.95s
204:	learn: 0.6558652	total: 503ms	remaining: 1.95s
205:	learn: 0.6557193	total: 505ms	remaining: 1.95s
206:	learn: 0.6556036	total: 507ms	remaining: 1.94s
207:	learn: 0.6554811	total: 509ms	remaining: 1.94s
208:	learn: 0.6554763	total: 510ms	remaining: 1.93s
209:	learn: 0.6553613	total: 512ms	remaining: 1.93s
210:	learn: 0.6552443	total: 514ms	remaining: 1.92s
211:	learn: 0.6550976	total: 516ms	remaining: 1.92s
212:	learn: 0.6549317	total: 518ms	remaining: 1.91s
213:	learn: 0.6547798	total: 520ms	remaining: 1.91s
214:	learn: 0.6546310	total: 522ms	remaining: 1.91s
215:	learn: 0.6544378	total: 524ms	remaining: 1.9s
216:	learn: 0.6543269	total: 526ms	remaining: 1.9s
217:	learn: 0.6541406	total: 528ms	remaining: 1.9s
218:	learn: 0.6539838	total: 530ms	remaining: 1.89s
219:	learn: 0.6538683	total: 532ms	remaining: 1.89s
220:	learn: 0.6536508	total: 535ms	remaining: 1.88s
221:	learn: 0.6534545	total: 537ms	remaining: 1.88s
222:	learn: 0.6533396	total: 539ms	remaining: 1.88s
223:	learn: 0.6531538	total: 541ms	remaining: 1.87s
224:	learn: 0.6530258	total: 543ms	remaining: 1.87s
225:	learn: 0.6528791	total: 546ms	remaining: 1.87s
226:	learn: 0.6527151	total: 548ms	remaining: 1.87s
227:	learn: 0.6525848	total: 550ms	remaining: 1.86s
228:	learn: 0.6523876	total: 552ms	remaining: 1.86s
229:	learn: 0.6522678	total: 554ms	remaining: 1.85s
230:	learn: 0.6521190	total: 557ms	remaining: 1.85s
231:	learn: 0.6521191	total: 558ms	remaining: 1.85s
232:	learn: 0.6521173	total: 559ms	remaining: 1.84s
233:	learn: 0.6519352	total: 561ms	remaining: 1.84s
234:	learn: 0.6517780	total: 563ms	remaining: 1.83s
235:	learn: 0.6515648	total: 565ms	remaining: 1.83s
236:	learn: 0.6513618	total: 567ms	remaining: 1.83s
237:	learn: 0.6512065	total: 570ms	remaining: 1.82s
238:	learn: 0.6510439	total: 571ms	remaining: 1.82s
239:	learn: 0.6509295	total: 573ms	remaining: 1.81s
240:	learn: 0.6508055	total: 576ms	remaining: 1.81s
241:	learn: 0.6506306	total: 578ms	remaining: 1.81s
242:	learn: 0.6504772	total: 581ms	remaining: 1.81s
243:	learn: 0.6503497	total: 584ms	remaining: 1.81s
244:	learn: 0.6502412	total: 586ms	remaining: 1.8s
245:	learn: 0.6501359	total: 588ms	remaining: 1.8s
246:	learn: 0.6500582	total: 592ms	remaining: 1.8s
247:	learn: 0.6498874	total: 595ms	remaining: 1.8s
248:	learn: 0.6497259	total: 597ms	remaining: 1.8s
249:	learn: 0.6495829	total: 598ms	remaining: 1.79s
250:	learn: 0.6494570	total: 600ms	remaining: 1.79s
251:	learn: 0.6492818	total: 602ms	remaining: 1.79s
252:	learn: 0.6491128	total: 604ms	remaining: 1.78s
253:	learn: 0.6489535	total: 606ms	remaining: 1.78s
254:	learn: 0.6488234	total: 608ms	remaining: 1.77s
255:	learn: 0.6486278	total: 611ms	remaining: 1.77s
256:	learn: 0.6484436	total: 613ms	remaining: 1.77s
257:	learn: 0.6482941	total: 615ms	remaining: 1.77s
258:	learn: 0.6481567	total: 617ms	remaining: 1.76s
259:	learn: 0.6479962	total: 618ms	remaining: 1.76s
260:	learn: 0.6478962	total: 620ms	remaining: 1.76s
261:	learn: 0.6477476	total: 622ms	remaining: 1.75s
262:	learn: 0.6476332	total: 624ms	remaining: 1.75s
263:	learn: 0.6474140	total: 626ms	remaining: 1.74s
264:	learn: 0.6472302	total: 628ms	remaining: 1.74s
265:	learn: 0.6470893	total: 630ms	remaining: 1.74s
266:	learn: 0.6469457	total: 632ms	remaining: 1.74s
267:	learn: 0.6468276	total: 634ms	remaining: 1.73s
268:	learn: 0.6466445	total: 636ms	remaining: 1.73s
269:	learn: 0.6465414	total: 638ms	remaining: 1.72s
270:	learn: 0.6464202	total: 640ms	remaining: 1.72s
271:	learn: 0.6461884	total: 642ms	remaining: 1.72s
272:	learn: 0.6460123	total: 644ms	remaining: 1.71s
273:	learn: 0.6458164	total: 646ms	remaining: 1.71s
274:	learn: 0.6456974	total: 647ms	remaining: 1.71s
275:	learn: 0.6454389	total: 649ms	remaining: 1.7s
276:	learn: 0.6452355	total: 651ms	remaining: 1.7s
277:	learn: 0.6450866	total: 654ms	remaining: 1.7s
278:	learn: 0.6449374	total: 655ms	remaining: 1.69s
279:	learn: 0.6448507	total: 657ms	remaining: 1.69s
280:	learn: 0.6447082	total: 659ms	remaining: 1.69s
281:	learn: 0.6445816	total: 661ms	remaining: 1.68s
282:	learn: 0.6443848	total: 663ms	remaining: 1.68s
283:	learn: 0.6441610	total: 665ms	remaining: 1.68s
284:	learn: 0.6440332	total: 667ms	remaining: 1.67s
285:	learn: 0.6439043	total: 669ms	remaining: 1.67s
286:	learn: 0.6437655	total: 672ms	remaining: 1.67s
287:	learn: 0.6436392	total: 674ms	remaining: 1.67s
288:	learn: 0.6435035	total: 675ms	remaining: 1.66s
289:	learn: 0.6434154	total: 678ms	remaining: 1.66s
290:	learn: 0.6432800	total: 680ms	remaining: 1.66s
291:	learn: 0.6431579	total: 682ms	remaining: 1.65s
292:	learn: 0.6430574	total: 684ms	remaining: 1.65s
293:	learn: 0.6429570	total: 686ms	remaining: 1.65s
294:	learn: 0.6428061	total: 688ms	remaining: 1.64s
295:	learn: 0.6428062	total: 689ms	remaining: 1.64s
296:	learn: 0.6426816	total: 691ms	remaining: 1.64s
297:	learn: 0.6425846	total: 693ms	remaining: 1.63s
298:	learn: 0.6424794	total: 694ms	remaining: 1.63s
299:	learn: 0.6423869	total: 696ms	remaining: 1.63s
300:	learn: 0.6421857	total: 699ms	remaining: 1.62s
301:	learn: 0.6420837	total: 701ms	remaining: 1.62s
302:	learn: 0.6419440	total: 703ms	remaining: 1.62s
303:	learn: 0.6418271	total: 706ms	remaining: 1.61s
304:	learn: 0.6416806	total: 708ms	remaining: 1.61s
305:	learn: 0.6415509	total: 710ms	remaining: 1.61s
306:	learn: 0.6415509	total: 711ms	remaining: 1.6s
307:	learn: 0.6414118	total: 713ms	remaining: 1.6s
308:	learn: 0.6413172	total: 715ms	remaining: 1.6s
309:	learn: 0.6411958	total: 718ms	remaining: 1.6s
310:	learn: 0.6411791	total: 719ms	remaining: 1.59s
311:	learn: 0.6410938	total: 722ms	remaining: 1.59s
312:	learn: 0.6409000	total: 724ms	remaining: 1.59s
313:	learn: 0.6407517	total: 726ms	remaining: 1.59s
314:	learn: 0.6405832	total: 729ms	remaining: 1.58s
[2023-11-13T06:57:56.273+0000] {docker.py:406} INFO - 315:	learn: 0.6404451	total: 731ms	remaining: 1.58s
316:	learn: 0.6403909	total: 734ms	remaining: 1.58s
317:	learn: 0.6402305	total: 737ms	remaining: 1.58s
318:	learn: 0.6400967	total: 739ms	remaining: 1.58s
319:	learn: 0.6398358	total: 742ms	remaining: 1.58s
320:	learn: 0.6397236	total: 744ms	remaining: 1.57s
321:	learn: 0.6395857	total: 746ms	remaining: 1.57s
322:	learn: 0.6394765	total: 748ms	remaining: 1.57s
323:	learn: 0.6394059	total: 751ms	remaining: 1.56s
324:	learn: 0.6392361	total: 752ms	remaining: 1.56s
325:	learn: 0.6390888	total: 754ms	remaining: 1.56s
326:	learn: 0.6389307	total: 756ms	remaining: 1.56s
327:	learn: 0.6387515	total: 758ms	remaining: 1.55s
328:	learn: 0.6386513	total: 761ms	remaining: 1.55s
329:	learn: 0.6385424	total: 763ms	remaining: 1.55s
330:	learn: 0.6383519	total: 765ms	remaining: 1.54s
331:	learn: 0.6382336	total: 767ms	remaining: 1.54s
332:	learn: 0.6381028	total: 769ms	remaining: 1.54s
333:	learn: 0.6379294	total: 771ms	remaining: 1.54s
334:	learn: 0.6377213	total: 772ms	remaining: 1.53s
335:	learn: 0.6375987	total: 774ms	remaining: 1.53s
336:	learn: 0.6374804	total: 776ms	remaining: 1.53s
337:	learn: 0.6373476	total: 778ms	remaining: 1.52s
338:	learn: 0.6372223	total: 780ms	remaining: 1.52s
339:	learn: 0.6370235	total: 782ms	remaining: 1.52s
340:	learn: 0.6368777	total: 784ms	remaining: 1.51s
341:	learn: 0.6367628	total: 786ms	remaining: 1.51s
342:	learn: 0.6366362	total: 788ms	remaining: 1.51s
343:	learn: 0.6365123	total: 790ms	remaining: 1.5s
344:	learn: 0.6363394	total: 792ms	remaining: 1.5s
345:	learn: 0.6362098	total: 794ms	remaining: 1.5s
346:	learn: 0.6359662	total: 796ms	remaining: 1.5s
347:	learn: 0.6358130	total: 798ms	remaining: 1.5s
348:	learn: 0.6357234	total: 800ms	remaining: 1.49s
349:	learn: 0.6355574	total: 802ms	remaining: 1.49s
350:	learn: 0.6353760	total: 803ms	remaining: 1.49s
351:	learn: 0.6352258	total: 805ms	remaining: 1.48s
352:	learn: 0.6351527	total: 807ms	remaining: 1.48s
353:	learn: 0.6350450	total: 809ms	remaining: 1.48s
354:	learn: 0.6349051	total: 811ms	remaining: 1.47s
355:	learn: 0.6348274	total: 813ms	remaining: 1.47s
356:	learn: 0.6347232	total: 815ms	remaining: 1.47s
357:	learn: 0.6346129	total: 817ms	remaining: 1.46s
358:	learn: 0.6344361	total: 819ms	remaining: 1.46s
359:	learn: 0.6342646	total: 821ms	remaining: 1.46s
360:	learn: 0.6341037	total: 822ms	remaining: 1.46s
361:	learn: 0.6339405	total: 824ms	remaining: 1.45s
362:	learn: 0.6337902	total: 826ms	remaining: 1.45s
363:	learn: 0.6336802	total: 828ms	remaining: 1.45s
364:	learn: 0.6335661	total: 831ms	remaining: 1.45s
365:	learn: 0.6334620	total: 833ms	remaining: 1.44s
366:	learn: 0.6333713	total: 834ms	remaining: 1.44s
367:	learn: 0.6332358	total: 836ms	remaining: 1.44s
368:	learn: 0.6330254	total: 838ms	remaining: 1.43s
369:	learn: 0.6329128	total: 841ms	remaining: 1.43s
370:	learn: 0.6327953	total: 843ms	remaining: 1.43s
371:	learn: 0.6326773	total: 845ms	remaining: 1.43s
372:	learn: 0.6325804	total: 847ms	remaining: 1.42s
373:	learn: 0.6324880	total: 849ms	remaining: 1.42s
374:	learn: 0.6323788	total: 850ms	remaining: 1.42s
375:	learn: 0.6322640	total: 852ms	remaining: 1.41s
376:	learn: 0.6321636	total: 854ms	remaining: 1.41s
377:	learn: 0.6319384	total: 856ms	remaining: 1.41s
378:	learn: 0.6317791	total: 857ms	remaining: 1.4s
379:	learn: 0.6316548	total: 859ms	remaining: 1.4s
380:	learn: 0.6314433	total: 861ms	remaining: 1.4s
381:	learn: 0.6313654	total: 867ms	remaining: 1.4s
382:	learn: 0.6311741	total: 870ms	remaining: 1.4s
383:	learn: 0.6310642	total: 872ms	remaining: 1.4s
384:	learn: 0.6309661	total: 874ms	remaining: 1.4s
